,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
21,506000,879000,195000,1410000,168000,177000,200000,245000,1250000,170000,440000,349000,405000,540000,1188000,585000,303000,354000,850000,460000,533000,740000,496000,136000,235000,460000,425000,1588000,243000,315000,219000,234000,356000,362000,1150000,824000,1277000,392000,235000,605000,565000,155000,100000,195000,460000,558000,970000,520000,560000,585000,395000,195000,359000,460000,475000,640000,475000,578000,219000,375000,536000,525000,242000,1825000,513000,850000,315000,305000,304000,652000,1088000,336000,530000,590000,405000,915000,416000,499000,645000,1273000,640000,388000
22,572000,845000,150000,1100000,168000,177000,198000,197000,1500000,170000,429000,351000,455000,529000,1093000,539000,310000,352000,885000,457000,500000,745000,485000,146000,230000,460000,414000,1348000,260000,350000,230000,235000,369000,370000,988000,820000,1150000,415000,235000,643000,520000,155000,245000,150000,405000,625000,1018000,520000,528000,588000,395000,210000,355000,476000,416000,645000,416000,578000,220000,373000,550000,534000,240000,1750000,513000,885000,351000,340000,332000,619000,970000,360000,603000,550000,455000,983000,425000,498000,645000,1075000,563000,365000
23,599000,865000,185000,925000,164000,140000,206000,214000,1350000,168000,459000,370000,405000,525000,950000,550000,324000,392000,850000,470000,517000,738000,485000,130000,205000,556000,439000,1013000,260000,343000,230000,232000,363000,379000,984000,765000,1110000,440000,171000,645000,650000,112000,245000,185000,400000,652000,1025000,640000,525000,580000,405000,220000,356000,450000,416000,648000,416000,723000,220000,369000,565000,570000,131000,1735000,510000,850000,345000,291000,282000,649000,1003000,325000,600000,608000,468000,930000,495000,438000,645000,1300000,535000,405000
24,572000,865000,220000,1013000,136000,80000,248000,232000,1283000,136000,462000,403000,402000,529000,895000,531000,325000,411000,869000,476000,470000,737000,480000,140000,190000,607000,420000,1200000,243000,299000,248000,235000,379000,380000,1025000,725000,1075000,435000,163000,640000,623000,112000,319000,220000,392000,612000,1040000,428000,540000,599000,340000,240000,340000,450000,380000,643000,380000,545000,220000,375000,565000,497000,145000,1120000,530000,869000,319000,281000,281000,615000,1022000,354000,567000,540000,383000,1029000,422000,400000,925000,1300000,429000,382000
25,568000,940000,175000,1130000,136000,85000,285000,255000,1283000,136000,524000,425000,394000,480000,864000,536000,340000,420000,920000,501000,549000,667000,533000,140000,219000,633000,425000,1026000,237000,317000,239000,228000,342000,363000,1165000,901000,1075000,405000,159000,570000,640000,135000,350000,175000,450000,560000,1078000,465000,678000,570000,353000,252000,348000,450000,362000,607000,362000,553000,90000,380000,554000,506000,145000,829000,498000,923000,285000,300000,298000,515000,1133000,377000,470000,499000,481000,1029000,415000,380000,825000,1490000,478000,400000
26,547000,915000,150000,1188000,127000,100000,225000,211000,1400000,127000,544000,451000,439000,499000,895000,563000,403000,448000,955000,475000,455000,685000,530000,188000,171000,522000,398000,914000,275000,298000,239000,231000,355000,355000,1365000,1130000,1073000,411000,210000,607000,605000,135000,248000,150000,451000,568000,934000,455000,678000,575000,343000,202000,374000,448000,345000,614000,345000,553000,135000,405000,552000,502000,210000,807000,505000,974000,331000,297000,295000,575000,1180000,398000,568000,521000,481000,1029000,414000,412000,662000,1510000,535000,448000
27,550000,910000,155000,920000,306000,175000,211000,211000,1590000,306000,557000,363000,468000,530000,938000,570000,385000,452000,955000,465000,555000,715000,560000,200000,195000,473000,425000,1075000,305000,500000,260000,253000,350000,350000,1373000,899000,1075000,430000,215000,630000,638000,135000,107000,155000,625000,597000,1017000,478000,705000,575000,474000,203000,369000,445000,376000,639000,376000,673000,118000,411000,570000,511000,220000,1220000,525000,973000,360000,310000,308000,589000,1017000,395000,618000,545000,348000,1166000,438000,434000,510000,1295000,640000,455000
28,548000,928000,196000,978000,280000,210000,220000,211000,1393000,280000,531000,446000,474000,567000,903000,590000,375000,463000,983000,455000,591000,770000,537000,214000,215000,465000,410000,1110000,290000,500000,270000,273000,375000,378000,1383000,885000,950000,415000,200000,639000,652000,152000,115000,196000,634000,615000,955000,489000,670000,673000,487000,220000,372000,448000,350000,667000,350000,750000,110000,430000,580000,476000,225000,1295000,545000,970000,350000,295000,295000,695000,1141000,395000,637000,590000,258000,1150000,401000,427000,627000,1083000,680000,473000
29,549000,928000,212000,945000,305000,219000,230000,230000,1393000,305000,538000,449000,472000,562000,893000,650000,374000,468000,970000,469000,430000,770000,547000,226000,222000,470000,425000,1270000,290000,475000,243000,230000,352000,375000,1400000,995000,1058000,400000,187000,663000,665000,185000,107000,212000,665000,573000,1005000,505000,636000,663000,550000,230000,360000,439000,395000,667000,395000,617000,118000,446000,583000,487000,173000,1095000,538000,948000,377000,311000,311000,702000,1065000,391000,557000,639000,307000,995000,400000,390000,538000,1050000,427000,469000
30,487000,899000,206000,975000,284000,210000,230000,182000,1137000,284000,500000,495000,480000,576000,886000,655000,379000,425000,945000,470000,412000,730000,524000,198000,253000,470000,433000,1265000,270000,338000,215000,218000,375000,375000,1284000,998000,1025000,393000,183000,634000,624000,221000,126000,206000,520000,530000,1175000,505000,654000,644000,525000,235000,352000,450000,409000,639000,409000,710000,125000,441000,566000,489000,225000,524000,555000,908000,376000,285000,285000,695000,1111000,391000,535000,634000,299000,950000,395000,415000,560000,1063000,425000,446000
31,479000,875000,195000,960000,305000,210000,178000,160000,4005000,305000,522000,420000,459000,585000,998000,636000,390000,388000,900000,465000,430000,721000,517000,145000,260000,455000,475000,1265000,290000,301000,219000,218000,353000,353000,1184000,950000,1150000,370000,181000,659000,622000,229000,206000,195000,530000,559000,1105000,515000,673000,566000,429000,227000,381000,462000,495000,659000,495000,726000,225000,413000,555000,501000,190000,549000,580000,895000,385000,280000,280000,684000,1063000,399000,535000,615000,335000,950000,400000,431000,539000,875000,467000,448000
32,500000,919000,200000,912000,250000,218000,183000,160000,2180000,250000,540000,452000,465000,565000,1319000,607000,382000,350000,897000,463000,540000,716000,505000,186000,238000,463000,429000,1032000,310000,352000,268000,226000,336000,338000,1140000,825000,1200000,361000,220000,654000,650000,229000,242000,200000,530000,614000,1292000,525000,675000,570000,457000,230000,370000,473000,457000,662000,457000,854000,221000,400000,549000,562000,223000,575000,545000,879000,387000,300000,300000,613000,1124000,388000,595000,580000,313000,950000,393000,477000,580000,1178000,587000,388000
33,515000,934000,242000,829000,242000,208000,210000,183000,2190000,242000,600000,464000,442000,565000,1360000,577000,336000,373000,895000,485000,520000,690000,518000,204000,230000,495000,410000,1158000,304000,370000,268000,275000,324000,332000,1200000,795000,1200000,365000,225000,653000,640000,229000,160000,242000,569000,572000,1333000,730000,695000,610000,449000,218000,365000,500000,459000,658000,459000,873000,210000,410000,549000,569000,207000,1120000,539000,882000,380000,294000,294000,609000,1193000,397000,530000,600000,478000,939000,422000,472000,575000,890000,962000,435000
34,535000,925000,283000,992000,223000,196000,225000,220000,1166000,223000,600000,525000,438000,555000,1070000,590000,400000,469000,880000,500000,493000,650000,518000,204000,230000,528000,400000,1275000,290000,390000,239000,230000,348000,349000,1176000,856000,1140000,470000,203000,663000,652000,194000,160000,283000,569000,543000,1333000,730000,573000,567000,457000,200000,380000,459000,454000,670000,454000,853000,190000,431000,563000,515000,207000,1675000,535000,865000,377000,282000,282000,611000,1166000,431000,534000,605000,367000,939000,409000,489000,620000,1110000,599000,452000
35,525000,928000,315000,1050000,221000,178000,185000,220000,1166000,221000,599000,500000,440000,560000,850000,604000,417000,495000,865000,552000,468000,713000,499000,204000,230000,498000,468000,1803000,220000,449000,214000,216000,350000,355000,1200000,1199000,1270000,506000,185000,665000,633000,166000,90000,315000,534000,580000,1100000,735000,663000,595000,470000,175000,383000,563000,432000,668000,432000,753000,200000,443000,570000,481000,168000,696000,535000,865000,327000,277000,277000,630000,1133000,451000,529000,614000,395000,915000,450000,422000,560000,1120000,743000,454000
36,500000,925000,299000,1130000,190000,250000,165000,216000,1166000,192000,597000,490000,440000,553000,830000,614000,385000,486000,1000000,507000,520000,775000,525000,202000,230000,475000,420000,1733000,225000,542000,230000,225000,359000,359000,1150000,680000,1362000,502000,174000,690000,659000,161000,160000,299000,625000,595000,1100000,295000,915000,600000,438000,174000,395000,491000,465000,690000,465000,826000,215000,440000,580000,445000,150000,1032000,535000,996000,335000,290000,290000,630000,910000,461000,542000,598000,395000,891000,427000,440000,575000,1257000,965000,469000
37,477000,955000,315000,1198000,188000,245000,185000,220000,1635000,192000,610000,493000,470000,550000,875000,609000,358000,390000,1069000,500000,448000,745000,560000,216000,155000,498000,410000,1600000,198000,510000,284000,230000,360000,360000,1175000,585000,1240000,370000,215000,700000,639000,164000,410000,315000,690000,569000,1280000,448000,816000,658000,455000,182000,365000,460000,465000,700000,465000,675000,232000,443000,577000,449000,190000,700000,510000,1052000,320000,319000,319000,718000,930000,470000,492000,586000,330000,1095000,427000,485000,660000,1150000,453000,524000
38,464000,966000,190000,1145000,192000,255000,187000,220000,2198000,192000,650000,535000,474000,569000,874000,604000,385000,365000,1050000,450000,439000,790000,560000,225000,123000,454000,410000,1135000,245000,538000,286000,248000,390000,360000,1325000,889000,920000,365000,220000,577000,647000,164000,349000,190000,760000,527000,1410000,455000,587000,653000,438000,185000,394000,443000,447000,612000,447000,1275000,240000,467000,575000,487000,233000,1728000,571000,1046000,355000,318000,318000,725000,1255000,422000,489000,569000,365000,943000,533000,485000,615000,895000,473000,525000
39,537000,966000,365000,1094000,239000,247000,190000,230000,2477000,239000,650000,491000,500000,571000,874000,629000,419000,406000,1046000,469000,419000,790000,565000,220000,113000,469000,400000,1250000,267000,390000,307000,267000,455000,455000,1300000,966000,947000,390000,230000,675000,645000,320000,85000,365000,715000,589000,1355000,615000,593000,685000,425000,193000,394000,467000,478000,678000,478000,1186000,250000,467000,590000,535000,231000,1355000,581000,1050000,390000,330000,330000,742000,1250000,430000,518000,615000,365000,923000,536000,598000,552000,923000,480000,522000
40,540000,946000,320000,1043000,212000,258000,200000,245000,2379000,212000,619000,490000,500000,600000,1225000,639000,421000,445000,1026000,473000,473000,775000,570000,205000,190000,474000,419000,1470000,278000,369000,275000,275000,424000,425000,1190000,984000,1150000,420000,200000,678000,679000,320000,87000,320000,782000,595000,1450000,705000,591000,640000,400000,210000,418000,476000,580000,703000,580000,950000,263000,461000,592000,575000,185000,1275000,595000,1043000,425000,360000,360000,728000,1090000,422000,555000,631000,515000,777000,540000,485000,590000,947000,725000,435000
41,575000,950000,320000,919000,208000,217000,248000,272000,2150000,208000,629000,450000,480000,599000,1418000,655000,438000,450000,965000,500000,543000,777000,600000,210000,265000,577000,425000,1540000,283000,297000,288000,279000,422000,422000,1175000,896000,1250000,450000,223000,661000,669000,301000,92000,320000,699000,605000,1350000,705000,667000,660000,410000,204000,413000,485000,485000,681000,485000,910000,145000,456000,610000,612000,181000,1110000,563000,970000,390000,329000,329000,738000,1170000,424000,590000,632000,488000,970000,508000,450000,610000,1058000,890000,425000
