,combinatory,Stat_ttest,p_ttest,df_ttest,Stat_wctest,p_wctest,Stat_kstest,p_kstest,Stat_mutest,p_mutest,index_ttest,index_wctest,index_kstest,index_mutest
2669,"(45, 60)",0.2170119279897115,0.8284792116708545,157.88999279351592,2139.0,0.8585890259853766,0.19354838709677422,0.06137500022392179,4412.5,0.8116148943571468,1,1,1,1
2670,"(45, 61)",-0.3625804952479584,0.7173433647744112,180.12277537541328,2138.0,0.8555807455040165,0.11827956989247312,0.5335084608160066,4286.0,0.9175582315637585,1,1,1,1
2671,"(45, 62)",-1.162382496744439,0.24732713872740172,123.18543564278018,2085.5,0.7015995383320663,0.23655913978494625,0.01098577460938761,4186.0,0.7068061011783113,1,1,0,1
2672,"(45, 63)",-0.6753645055030902,0.5004974716061252,148.0778745055658,1994.0,0.4630977527096788,0.15053763440860213,0.2426399621888428,4328.0,0.9934777614183674,1,1,1,1
2673,"(45, 64)",0.0677509136968069,0.9460636762410717,169.7049799731489,2165.0,0.9373919003988935,0.18279569892473124,0.08941479770378834,4372.5,0.8970463350293868,1,1,1,1
2674,"(45, 65)",-0.3627919190961944,0.7172016982867859,173.58215479583464,2113.0,0.7811719936059831,0.08602150537634401,0.8815272017572056,4364.0,0.9153962451145257,1,1,1,1
2675,"(45, 66)",0.2418870600281575,0.8091962704480362,150.8150059695725,2155.0,0.9069672947095488,0.17204301075268819,0.12747943966657732,4395.0,0.8487802735838154,1,1,1,1
2676,"(45, 67)",0.063065199627451,0.9497850222043277,178.82416269883734,2103.0,0.7519199458058767,0.11827956989247312,0.5335084608160066,4379.5,0.8819778836770137,1,1,1,1
2677,"(45, 68)",0.03959812218031778,0.9684575474857631,179.43639863839795,2096.0,0.7316517369483737,0.11827956989247312,0.5335084608160066,4353.0,0.9392019354350731,1,1,1,1
2678,"(45, 69)",-0.13363229256226192,0.8938413722294475,181.53543510239163,2109.0,0.7694299251774533,0.08602150537634407,0.8815272017572051,4232.5,0.8031651878601631,1,1,1,1
2679,"(45, 70)",-0.2580928024885433,0.7966415759048528,173.2741943004082,2127.5,0.8241320073298665,0.10752688172043012,0.655429386457258,4326.0,0.9978266025551566,1,1,1,1
2680,"(45, 71)",0.00293239406055281,0.9976635799668986,177.74226429106494,2165.5,0.9389160149125655,0.15053763440860216,0.2426399621888428,4340.5,0.9663219431433302,1,1,1,1
2681,"(45, 72)",0.11733393060795436,0.9067250480174136,181.6812230001499,2174.0,0.964853637445635,0.08602150537634412,0.8815272017572048,4407.5,0.8221885028972531,1,1,1,1
2682,"(45, 73)",0.03295085954376667,0.9737515353698702,174.0318027063187,2102.5,0.7504669509302397,0.09677419354838711,0.7765024241168353,4299.0,0.9457073931403012,1,1,1,1
2683,"(45, 74)",-1.5962953955355026,0.11312739681896392,116.69764320108848,1834.0,0.17804182384185996,0.25806451612903225,0.004085132093109034,4208.0,0.7519526661293583,1,1,0,1
2684,"(45, 75)",,,,1930.0,0.32759242682633316,0.27956989247311825,0.0013938716778410364,4169.0,0.6727343226564193,1,1,0,1
2685,"(45, 76)",-0.32195449179975005,0.7478691430938771,176.0479084619773,2119.0,0.7988757493968284,0.09677419354838712,0.7765024241168351,4329.0,0.991306348549434,1,1,1,1
2686,"(45, 77)",-0.26688139521484316,0.7898955178199109,164.123133318238,2117.5,0.7944387956225551,0.11827956989247312,0.5335084608160066,4280.5,0.9056712107941113,1,1,1,1
2687,"(45, 78)",-0.359834594797535,0.7194061495346662,174.41776188474302,2017.5,0.5197596383375501,0.13978494623655913,0.32356500602640936,4356.5,0.931620697738179,1,1,1,1
2688,"(45, 79)",-0.24802073894317628,0.8044180557750983,169.79292238493647,2105.5,0.7592019956325711,0.10752688172043012,0.655429386457258,4472.5,0.6878067143533292,1,1,1,1
2689,"(45, 80)",-0.39051703444354535,0.6966816194801937,157.59722145509122,2116.0,0.7900093828054171,0.11827956989247312,0.5335084608160066,4416.0,0.8042020595335815,1,1,1,1
2690,"(45, 81)",-0.2134232084844062,0.8312335723708209,183.68898234648466,2127.5,0.8241320073298665,0.06451612903225812,0.9902848339891562,4352.5,0.9402802863050244,1,1,1,1
2691,"(46, 47)",0.12422525766057786,0.9012728649167094,183.54386952963122,2017.0,0.5185005796207379,0.12903225806451613,0.4210978127131917,4293.5,0.933724583175016,1,1,1,1
2692,"(46, 48)",0.7566994645532887,0.4503624721952617,157.20736766983268,2098.5,0.738869060388571,0.12903225806451615,0.4210978127131916,4255.5,0.8519187588881593,1,1,1,1
2693,"(46, 49)",1.1915082856337955,0.2358617388173544,117.18330772835655,2044.5,0.5890197062073088,0.22580645161290322,0.01744348649521118,4151.0,0.6374351993699796,1,1,0,1
2694,"(46, 50)",0.8002854412640223,0.42487926586335856,142.3218672681233,2183.0,0.9923570325426689,0.1827956989247312,0.08941479770378853,4184.5,0.7037961803494033,1,1,1,1
2695,"(46, 51)",1.3408212811180524,0.18282915728014731,106.58272119798848,2054.0,0.6143626289440962,0.26881720430107525,0.002412038764518962,4176.5,0.6877206117533676,1,1,0,1
2696,"(46, 52)",0.9864534179754061,0.32601879660116095,112.96575548021983,2124.5,0.8151957729713595,0.3333333333333333,6.506094234534034e-05,4031.0,0.4247128827922707,1,1,0,1
2697,"(46, 53)",0.8034626651560599,0.4230644123000934,140.51694049169015,2092.0,0.720150300159508,0.1827956989247312,0.08941479770378853,4165.5,0.6657144202273071,1,1,1,1
2698,"(46, 54)",0.48795734948220154,0.6262453472859744,160.6513649093052,2105.0,0.7577433394821287,0.13978494623655915,0.3235650060264091,4145.0,0.6256337123471947,1,1,1,1
2699,"(46, 55)",1.0807840717748958,0.2817505375487865,132.89883973140437,2035.0,0.5641705225329194,0.22580645161290322,0.01744348649521118,4203.5,0.7426454480438781,1,1,0,1
2700,"(46, 56)",0.5770664592692417,0.5647022741401815,160.66339478715363,2058.0,0.6251732461321029,0.12903225806451615,0.4210978127131916,4196.0,0.7271823579726521,1,1,1,1
2701,"(46, 57)",0.819616939389855,0.4137287489526851,150.71667730933802,2168.0,0.9465389164167489,0.15053763440860216,0.2426399621888428,4244.5,0.8284653914838664,1,1,1,1
2702,"(46, 58)",0.3845799527042605,0.7010210180682287,172.98872487197428,2160.5,0.9236842793526427,0.08602150537634412,0.8815272017572048,4248.5,0.836857789272576,1,1,1,1
2703,"(46, 59)",1.488511470084462,0.13989994551745688,95.81907056000902,2055.5,0.6184049834711729,0.4086021505376344,3.612359323498378e-07,4191.0,0.7171236008538733,1,1,0,1
2704,"(46, 60)",1.4403689401958786,0.15287065269995467,100.51552584103256,2031.5,0.555145000585016,0.3870967741935484,1.7738882125512227e-06,4156.0,0.6472054900325575,1,1,0,1
2705,"(46, 61)",1.1814277317804067,0.24005315560100343,106.95428510038701,2140.5,0.863105513674047,0.3118279569892473,0.00023642877170222662,4078.5,0.503635781738056,1,1,0,1
2706,"(46, 62)",0.3039569814481907,0.7615218584404191,174.95755717399294,2170.0,0.952640242834567,0.13978494623655913,0.32356500602640936,4168.0,0.670400804774377,1,1,1,1
2707,"(46, 63)",0.8197288553540899,0.413708079127199,145.86973186920713,2088.0,0.7087094085283109,0.1827956989247312,0.08941479770378853,4198.5,0.7322154508148508,1,1,1,1
2708,"(46, 64)",1.3745968139323157,0.17223716272331926,103.08888251611543,2069.5,0.6567053686123479,0.3655913978494624,7.992872536634279e-06,4155.0,0.6451737850886002,1,1,0,1
2709,"(46, 65)",1.0965289425067242,0.2749672413091926,124.29872694001526,2145.5,0.8781897427495788,0.1827956989247312,0.08941479770378853,4183.0,0.7008750241718205,1,1,1,1
2710,"(46, 66)",1.4525941852000697,0.1494891210510683,99.2999765389734,2066.0,0.6470404440047438,0.3548387096774194,1.6427887026265655e-05,4188.5,0.7120371915804539,1,1,0,1
2711,"(46, 67)",1.3627896598545335,0.17582990669990345,106.2616370833339,2140.0,0.8615999785504922,0.3010752688172043,0.0004363960539464239,4162.0,0.6589195725852647,1,1,0,1
2712,"(46, 68)",1.351984831836523,0.17924242803045565,106.57343503784251,2139.5,0.8600946975274484,0.3010752688172043,0.0004363960539464239,4159.5,0.6540127769830354,1,1,0,1
2713,"(46, 69)",1.2740156425857574,0.20539547060369182,107.88849505120776,2093.0,0.7230201645955285,0.29032258064516125,0.0007883546570811146,4138.0,0.6123001946758919,1,1,0,1
2714,"(46, 70)",1.1474735149081294,0.2533854187697694,124.54528809695134,2028.0,0.546190261709038,0.19354838709677422,0.06137500022392179,4210.0,0.7561245297993586,1,1,1,1
2715,"(46, 71)",1.3393949514134547,0.18331340257184284,105.76080401000986,2088.0,0.7087157855083335,0.34408602150537637,3.304614937233448e-05,4158.0,0.6510887220890216,1,1,0,1
2716,"(46, 72)",1.3805250153340896,0.17027556919184184,108.00128954025043,2101.0,0.7461117663631496,0.27956989247311825,0.0013938716778410364,4186.5,0.7079378492291457,1,1,0,1
2717,"(46, 73)",1.356444400052544,0.17788506083708497,104.36125260989941,2081.0,0.6888597297817611,0.3118279569892473,0.00023642877170222662,4144.5,0.6248544693418792,1,1,0,1
