,combinatory,Stat_ttest,p_ttest,df_ttest,Stat_wctest,p_wctest,Stat_kstest,p_kstest,Stat_mutest,p_mutest,index_ttest,index_wctest,index_kstest,index_mutest
2566,"(42, 68)",0.267382679976896,0.7894787278014254,181.13771344721616,2135.5,0.848071055385257,0.10752688172043012,0.655429386457258,4327.0,0.9956508135766581,1,1,1,1
2567,"(42, 69)",0.0342642911235953,0.9727039698566556,181.89994362569038,2120.0,0.8018363680602276,0.07526881720430112,0.9548210883333179,4207.5,0.7508100259069462,1,1,1,1
2568,"(42, 70)",0.33523389288934635,0.737850897903767,174.68291699138368,2151.5,0.8963483759632017,0.07526881720430112,0.9548210883333179,4247.5,0.834794740668278,1,1,1,1
2569,"(42, 71)",0.5434967537943107,0.5875602633078538,156.6828978347268,2111.5,0.7767643248236795,0.09677419354838712,0.7765024241168351,4203.5,0.7425769693317757,1,1,1,1
2570,"(42, 72)",-0.2754835379560238,0.7832554686343202,183.06748465880432,2136.0,0.8495717135414966,0.11827956989247312,0.5335084608160066,4136.0,0.6083853202547033,1,1,1,1
2571,"(42, 73)",0.2252251325850579,0.8220804187551428,166.44891930890043,2130.5,0.8330907967975032,0.13978494623655918,0.3235650060264089,4147.5,0.6304947821389857,1,1,1,1
2572,"(42, 74)",,,,1951.0,0.3689087230974567,0.25806451612903225,0.004085132093109034,4488.0,0.6561039210007555,1,1,0,1
2573,"(42, 75)",,,,1522.5,0.011070212293311647,0.3548387096774194,1.6427887026265655e-05,3719.5,0.09757958070694554,1,0,0,1
2574,"(42, 76)",-0.14649026749771407,0.8836985200715962,179.76569125123874,2133.5,0.8420720615197711,0.16129032258064513,0.17783264409307842,4247.0,0.8337464444864009,1,1,1,1
2575,"(42, 77)",-0.5486814088291726,0.5842129928409088,123.70965790081075,2111.0,0.7752839235444624,0.13978494623655915,0.3235650060264091,4482.0,0.6681650314151286,1,1,1,1
2576,"(42, 78)",0.07895021344926814,0.9371597234294787,180.41200158072886,2181.5,0.987771700887229,0.09677419354838712,0.7765024241168351,4196.5,0.7280808936497667,1,1,1,1
2577,"(42, 79)",-0.12635624610822313,0.8995885395180452,183.15125469264436,2176.5,0.9724907526906288,0.0967741935483871,0.7765024241168355,4305.0,0.9586785267938313,1,1,1,1
