,combinatory,Stat_ttest,p_ttest,df_ttest,Stat_wctest,p_wctest,Stat_kstest,p_kstest,Stat_mutest,p_mutest,index_ttest,index_wctest,index_kstest,index_mutest
1886,"(27, 78)",19.045590159375298,4.0651673092212885e-41,143.51487746267406,0.0,5.570874448462588e-17,0.8817204301075269,7.962912998942335e-32,8471.0,1.40925210524278e-29,0,0,0,0
1887,"(27, 79)",1.66213173976475,0.09825910796671168,176.7224457413047,1741.5,0.08889735145136733,0.15053763440860218,0.24263996218884257,4785.5,0.20968315910083457,1,1,1,1
1888,"(27, 80)",14.61066575889712,1.361850190284714e-32,183.90028067583972,151.5,6.5165007554897256e-15,0.7634408602150539,5.7597169746104566e-24,8070.5,1.931959425732648e-24,0,0,0,0
1889,"(27, 81)",27.105152859036057,9.673020308466948e-51,110.9131551552095,0.0,5.569784275992784e-17,1.0,8.159117334355236e-41,8649.0,5.044102797857143e-32,0,0,0,0
1890,"(28, 29)",-6.8144126680704575,2.3761119264302336e-10,144.48617501705272,419.0,1.300151489434893e-11,0.3870967741935484,1.7738882125512227e-06,2136.0,2.5151231529338013e-09,0,0,0,0
1891,"(28, 30)",3.1292023856993554,0.002039242766041093,183.589493005652,844.5,2.770004939379711e-07,0.21505376344086025,0.027107886511045797,5240.5,0.01263104672269327,0,0,0,0
1892,"(28, 31)",1.6764566398622618,0.09535761754596518,182.8545533562622,894.0,7.456349701934568e-07,0.16129032258064516,0.17783264409307828,4829.0,0.16975898770872477,1,0,1,1
1893,"(28, 32)",-9.43323920999641,2.6418038460707297e-17,173.00603677195392,0.0,5.558168295262618e-17,0.5698924731182795,1.5256984637379165e-13,1509.5,1.7629350696324094e-14,0,0,0,0
1894,"(28, 33)",-9.891521575303855,1.68972781631186e-18,169.55247251185358,0.0,5.557805664666959e-17,0.5806451612903225,4.828325754043582e-14,1424.0,2.793200462919395e-15,0,0,0,0
1895,"(28, 34)",-53.37329960649684,2.593058857099909e-86,121.74636140388971,0.0,5.569057606246827e-17,1.0,8.159117334355236e-41,0.0,5.036878835758026e-32,0,0,0,0
1896,"(28, 35)",-29.058926335037686,6.842508581355919e-53,108.08071603917507,0.0,5.567241323458242e-17,1.0,8.159117334355236e-41,0.0,5.031303568118849e-32,0,0,0,0
1897,"(28, 36)",-53.54593221076945,6.536191102772837e-90,128.8624787111397,0.0,5.564699467083932e-17,1.0,8.159117334355236e-41,0.0,5.023770100540322e-32,0,0,0,0
1898,"(28, 37)",-15.968253040207294,2.1955519382243265e-34,152.77425885422548,1.0,5.74941546986909e-17,0.7741935483870969,1.2376988984254926e-24,508.5,2.6502604637196255e-25,0,0,0,0
1899,"(28, 38)",4.9175822772234135,1.9443723165096952e-06,182.69217523691648,84.5,8.214160227191657e-16,0.2795698924731183,0.0013938716778410314,5957.0,8.759734326248243e-06,0,0,0,0
1900,"(28, 39)",-31.578597062558856,4.403938382787797e-71,161.82867639500233,0.0,5.562521605166378e-17,1.0,8.159117334355236e-41,0.0,5.037206979517716e-32,0,0,0,0
1901,"(28, 40)",-35.97880448134482,1.1632362537546447e-82,174.56074566389873,0.0,5.557805664666959e-17,1.0,8.159117334355236e-41,0.0,5.035566468374057e-32,0,0,0,0
1902,"(28, 41)",4.737391739113896,4.495026502616223e-06,172.9432326590716,343.5,1.6875593807546072e-12,0.32258064516129037,0.00012536611591669995,5714.0,0.00015445729002747178,0,0,0,0
1903,"(28, 42)",6.474070591012799,1.127198636828589e-09,159.17627981789096,831.5,2.1246539661029857e-07,0.4731182795698925,1.820677558014061e-09,6320.5,5.451064807132512e-08,0,0,0,0
1904,"(28, 43)",1.2329525878093506,0.2193656551659053,163.2778276683631,1647.0,0.03907013297472871,0.24731182795698922,0.006771552476655329,4717.0,0.2855875662092995,1,0,0,1
1905,"(28, 44)",-23.560158105517758,2.0177539861051885e-51,144.94847697203184,0.0,5.56615182224278e-17,0.924731182795699,5.793541223601557e-35,84.0,7.398938304194799e-31,0,0,0,0
1906,"(28, 45)",-30.9634565873974,7.231973203770599e-72,170.34998402682243,0.0,5.557080470485515e-17,1.0,8.159117334355236e-41,0.0,5.037206979517716e-32,0,0,0,0
1907,"(28, 46)",-32.01167943086549,3.097345090658145e-54,99.62700984618778,0.0,5.570511035257526e-17,1.0,8.159117334355236e-41,0.0,5.033926476272105e-32,0,0,0,0
1908,"(28, 47)",-20.164336476933368,9.133242455029448e-41,122.72441190594789,0.0,5.566878134017574e-17,0.978494623655914,4.267187967340601e-39,43.0,2.0044342721820056e-31,0,0,0,0
1909,"(28, 48)",-25.362739283684217,8.839508081682083e-55,142.96498981829845,0.0,5.56869430494015e-17,1.0,8.159117334355236e-41,0.0,5.035894529074335e-32,0,0,0,0
1910,"(28, 49)",-35.9516024053752,8.365419252008868e-85,182.74228421684515,0.0,5.564699467083932e-17,1.0,8.159117334355236e-41,0.0,5.01951690214586e-32,0,0,0,0
1911,"(28, 50)",-14.587808060298904,3.5632792861025745e-31,159.64095205977202,0.0,5.566878134017574e-17,0.6989247311827957,3.72378831205029e-20,606.0,4.146409613830669e-24,0,0,0,0
1912,"(28, 51)",4.32377909464689,2.518195304922938e-05,182.65957019383185,140.0,4.5783516887998756e-15,0.2903225806451613,0.0007883546570811125,5831.5,4.063718986334721e-05,0,0,0,0
1913,"(28, 52)",-12.631751660112007,2.1911223976937102e-26,174.24652963050679,0.0,5.559619041040962e-17,0.6774193548387096,5.84066460509891e-19,863.5,4.240050103686264e-21,0,0,0,0
1914,"(28, 53)",-23.62869178271224,8.869236522139017e-54,158.3006145603827,0.0,5.564336434201208e-17,0.924731182795699,5.793541223601557e-35,42.0,1.9370944289254938e-31,0,0,0,0
1915,"(28, 54)",-18.25294811778197,3.6163381542420075e-41,162.19122920449308,0.0,5.56397342367894e-17,0.8387096774193549,7.75827517850106e-29,185.0,1.7499589085766506e-29,0,0,0,0
1916,"(28, 55)",-32.37978230159982,1.2830056393295538e-72,161.884277897296,0.0,5.56397342367894e-17,1.0,8.159117334355236e-41,0.0,5.033926476272105e-32,0,0,0,0
1917,"(28, 56)",-18.210807700371824,5.290293505579662e-41,161.61948326658177,0.0,5.5657886999062e-17,0.8387096774193549,7.75827517850106e-29,185.0,1.7497498667892667e-29,0,0,0,0
1918,"(28, 57)",-27.492091120228633,4.822892945312336e-52,113.66758147151408,0.0,5.567967769452712e-17,0.989247311827957,5.9643388557606645e-40,15.0,8.173566114806564e-32,0,0,0,0
1919,"(28, 58)",4.189109931137429,4.597505572689674e-05,161.35127243129534,669.0,6.218763089650135e-09,0.3440860215053763,3.304614937233466e-05,6037.0,3.1020778605024554e-06,0,0,0,0
1920,"(28, 59)",-15.025205719928373,9.883487582512745e-34,182.4121022183946,0.0,5.553093499120456e-17,0.6774193548387097,5.840664605098827e-19,587.0,2.434273203693519e-24,0,0,0,0
1921,"(28, 60)",-32.839450606286356,5.37137868088512e-78,180.28115574749356,0.0,5.557080470485515e-17,1.0,8.159117334355236e-41,0.0,5.030975797966005e-32,0,0,0,0
1922,"(28, 61)",-24.055177663389287,6.770126711493386e-56,165.44152667021018,0.0,5.562158706425953e-17,0.978494623655914,4.267187967340601e-39,23.0,1.0578939527206569e-31,0,0,0,0
1923,"(28, 62)",4.835679428066224,2.987907290707488e-06,167.46361044899535,163.5,9.35754735478416e-15,0.32258064516129037,0.00012536611591669995,5878.0,2.3307186400438872e-05,0,0,0,0
1924,"(28, 63)",-16.83210008216811,2.5189320440422965e-30,95.47246749242682,0.0,5.570511035257526e-17,1.0,8.159117334355236e-41,0.0,5.041146324907645e-32,0,0,0,0
1925,"(28, 64)",-21.78622601484285,6.426365182973395e-51,168.7770973293439,0.0,5.558530948196525e-17,0.8709677419354839,4.594674735108977e-31,147.5,5.444455140130328e-30,0,0,0,0
1926,"(28, 65)",-56.236247199918374,3.868036432088221e-111,168.5577875484085,0.0,5.564336434201208e-17,1.0,8.159117334355236e-41,0.0,5.032287003052893e-32,0,0,0,0
1927,"(28, 66)",-9.202811864762525,2.1962017318270996e-16,155.70664914515848,3.5,6.22025018850891e-17,0.5913978494623655,1.495494261715628e-14,1566.0,5.751937756974435e-14,0,0,0,0
1928,"(28, 67)",-4.495546864957365,1.268014379114416e-05,172.78480646208305,461.0,3.8960734790426985e-11,0.3010752688172043,0.0004363960539464239,2801.5,3.362262672439821e-05,0,0,0,0
